N,P,K,temperature,humidity,ph,rainfall,label
28.85,53.85,32.03,18.42,35.37,8.27,34.16,chickpea
102.1,30.75,39.4,19.64,80.56,6.91,247.19,coffee
59.46,34.47,49.22,27.02,68.9,6.31,173.85,coffee
74.1,34.54,27.15,34.57,79.3,7.18,259.63,jute
27.31,56.2,28.45,14.6,42.68,7.02,45.58,chickpea
41.68,51.89,26.7,13.57,61.18,6.55,56.82,chickpea
27.62,19.48,46.14,34.4,59.61,6.0,133.84,mango
100.93,45.75,41.08,16.11,53.45,7.58,113.19,maize
152.86,47.75,157.7,24.37,76.92,6.07,211.25,banana
144.23,39.14,163.57,31.21,75.93,6.49,185.33,banana
58.05,51.84,35.17,22.38,90.44,6.9,230.3,jute
93.87,45.95,32.33,29.16,69.52,7.17,238.13,jute
78.51,53.54,76.27,29.01,65.34,5.88,35.21,tomato
87.11,63.72,100.57,24.84,80.52,5.55,94.05,potato
84.79,53.84,85.76,16.72,51.54,6.05,39.09,tomato
32.37,24.24,40.59,32.87,48.58,7.65,128.52,mango
155.34,69.19,80.71,22.71,78.77,6.62,189.44,sugarcane
30.71,39.36,51.99,23.94,55.29,6.32,83.65,mango
98.89,73.6,54.77,29.39,82.01,6.42,162.81,sugarcane
41.64,38.91,53.7,28.53,42.88,6.45,79.64,mango
121.29,42.99,32.15,35.2,42.91,8.0,102.09,cotton
124.05,71.67,90.29,23.75,77.6,6.29,90.76,potato
106.4,47.92,46.98,32.85,50.88,7.79,80.57,maize
136.0,33.14,149.95,22.21,75.13,7.21,125.44,banana
37.53,51.28,20.34,13.63,34.25,6.38,25.4,chickpea
77.66,50.39,95.3,19.42,65.46,6.62,78.18,tomato
92.94,33.78,198.07,22.34,70.4,6.72,157.83,banana
57.74,37.11,48.18,24.83,85.23,6.67,144.19,jute
48.88,25.7,54.03,24.43,62.85,7.21,104.43,mango
60.67,47.3,51.4,21.95,48.47,7.48,76.78,wheat
60.25,28.85,52.74,9.19,40.45,7.39,80.22,wheat
93.04,29.29,43.2,28.44,70.31,7.01,222.5,jute
116.98,51.59,47.02,23.03,80.57,5.89,237.5,rice
110.42,30.78,52.92,19.45,58.8,7.24,96.82,cotton
58.62,52.08,72.11,19.66,52.7,6.87,40.18,tomato
55.83,31.21,43.62,23.02,42.48,7.56,97.81,wheat
101.35,40.48,29.51,30.41,37.95,8.19,66.0,cotton
100.26,39.05,190.9,24.35,70.79,6.52,144.15,banana
107.03,52.07,34.96,19.33,45.44,5.68,85.44,cotton
76.04,62.66,59.08,32.81,53.62,5.57,102.74,maize
148.6,35.52,56.91,24.86,78.57,6.44,93.62,sugarcane
34.14,50.92,40.68,14.79,31.34,6.7,54.59,chickpea
122.2,38.94,39.86,28.49,63.85,5.38,116.08,maize
86.55,45.38,41.04,34.8,74.36,6.37,281.94,rice
87.86,40.63,49.42,25.88,73.05,5.99,198.95,rice
115.2,71.49,78.73,15.44,82.33,5.16,37.63,potato
119.66,36.24,34.15,36.74,45.34,7.48,70.94,cotton
74.61,51.57,28.32,22.37,43.7,7.46,90.99,wheat
55.84,36.08,44.9,31.88,74.23,6.2,223.81,jute
84.45,40.89,71.43,28.01,59.39,6.65,59.21,tomato
55.33,35.79,61.15,24.85,79.4,6.74,246.97,coffee
129.94,32.92,46.29,23.23,73.74,5.87,67.88,cotton
82.9,64.6,75.29,15.52,80.47,6.72,64.19,potato
83.38,63.18,108.29,19.62,66.98,5.9,74.32,potato
69.9,41.47,49.65,19.89,61.43,5.9,182.45,coffee
114.75,65.37,113.1,16.51,67.23,5.01,48.03,potato
93.07,55.88,59.75,29.49,71.49,6.81,66.36,tomato
128.82,42.75,61.65,30.96,69.11,6.34,89.08,sugarcane
92.05,65.9,109.68,17.28,82.56,6.04,71.88,potato
156.98,31.89,193.06,31.2,77.43,6.48,161.21,banana
120.72,48.91,152.96,28.23,77.4,7.2,198.78,banana
97.3,67.85,95.66,13.95,64.36,5.23,84.08,potato
97.91,39.23,95.62,27.34,64.1,6.45,179.8,sugarcane
54.93,17.31,42.79,27.74,50.18,6.09,127.03,mango
73.92,59.87,59.54,22.79,68.96,6.46,44.94,tomato
125.95,48.46,38.71,21.9,46.74,6.78,106.88,cotton
34.66,40.39,41.97,24.55,37.32,5.67,82.25,mango
55.87,47.53,47.57,31.84,91.16,7.34,163.46,jute
27.83,29.23,50.11,33.37,53.65,7.47,140.09,mango
100.95,43.69,90.19,22.76,85.24,7.06,193.2,sugarcane
85.54,39.96,54.14,30.11,66.78,6.02,67.01,maize
51.61,28.48,53.59,29.14,57.19,5.21,84.78,mango
45.5,25.51,39.7,25.25,47.42,6.63,155.27,mango
35.16,52.83,28.44,24.03,60.71,7.78,62.25,chickpea
108.2,39.18,42.48,35.63,50.15,7.97,63.12,cotton
131.65,27.64,45.3,36.92,44.96,6.02,105.38,cotton
89.7,42.03,90.85,20.55,72.97,6.64,64.7,tomato
35.24,38.58,31.04,22.3,55.01,8.25,60.96,chickpea
36.89,25.76,48.81,32.4,48.13,7.46,130.03,mango
117.21,29.94,198.84,29.62,68.07,5.5,117.55,banana
90.52,39.16,41.12,23.49,69.87,5.35,67.59,maize
146.21,63.41,60.67,21.56,76.96,6.34,100.53,sugarcane
90.07,52.43,33.33,27.11,88.36,5.9,217.32,jute
119.01,40.94,71.52,22.3,66.91,6.19,99.6,sugarcane
77.11,58.7,41.05,28.18,90.81,6.38,204.96,rice
94.19,26.16,57.77,29.0,76.29,6.62,191.19,coffee
41.47,40.69,23.75,24.73,53.2,6.12,61.79,chickpea
84.06,51.87,35.87,33.06,78.63,7.06,182.54,jute
88.18,45.73,43.68,23.16,53.24,6.82,81.9,wheat
32.19,38.93,41.92,18.21,39.5,7.32,67.76,chickpea
104.28,41.54,55.39,16.57,57.39,6.8,76.63,tomato
87.02,17.25,38.47,17.37,78.31,6.13,177.75,coffee
105.73,39.64,39.43,15.97,38.74,6.93,57.32,wheat
115.32,44.95,174.51,30.39,77.14,6.32,112.52,banana
154.51,73.28,104.31,18.47,68.68,7.26,182.88,sugarcane
31.17,38.54,35.16,25.16,45.49,7.96,55.35,chickpea
131.39,43.38,188.85,27.69,89.76,6.95,162.49,banana
110.5,63.8,91.8,17.82,63.41,6.65,88.41,potato
67.88,50.18,55.2,18.19,60.47,6.2,84.21,tomato
35.92,40.3,41.38,22.89,38.5,6.73,57.76,chickpea
63.64,34.72,33.43,30.32,75.01,7.2,208.83,jute
95.84,61.87,84.18,23.1,58.06,6.61,81.88,tomato
56.01,42.9,49.35,22.39,71.16,6.79,207.93,jute
87.1,39.47,57.48,28.66,75.74,6.29,254.66,coffee
84.13,53.85,49.57,23.9,49.92,6.55,58.79,maize
101.8,60.3,72.72,19.85,67.51,6.63,60.28,tomato
59.83,27.8,59.46,28.05,69.96,6.46,234.31,coffee
23.11,37.27,25.83,17.38,47.8,5.86,37.06,chickpea
68.53,49.24,37.14,18.1,62.39,6.14,62.09,wheat
59.45,23.06,56.15,23.84,37.7,5.27,80.35,mango
111.84,48.88,40.49,25.21,68.24,7.57,71.86,cotton
124.76,29.63,40.97,27.42,48.26,5.48,116.27,cotton
149.54,65.65,56.12,36.13,57.77,6.92,159.8,sugarcane
95.06,58.03,62.33,19.32,83.94,6.97,251.18,rice
92.89,52.81,101.61,18.08,69.49,6.26,50.31,potato
133.11,42.34,160.06,28.1,87.55,5.96,136.5,banana
107.43,53.15,72.34,20.05,86.94,6.63,174.74,sugarcane
114.64,48.43,41.32,30.16,37.8,5.78,88.31,cotton
81.48,37.36,42.97,20.32,84.62,5.51,226.23,rice
108.11,36.3,39.45,27.89,68.89,7.63,53.73,cotton
79.78,22.72,47.48,17.32,79.32,5.9,223.86,coffee
97.18,48.31,79.87,18.79,62.98,6.19,60.4,tomato
96.35,33.12,34.18,26.56,43.88,6.61,70.61,wheat
89.23,60.12,56.81,28.61,54.24,7.04,124.96,maize
103.26,37.69,56.33,34.37,79.91,6.18,128.57,rice
93.58,46.89,48.21,30.73,55.34,7.17,124.28,maize
69.7,29.6,48.51,29.26,84.48,7.45,137.3,jute
32.2,33.16,62.73,35.18,61.05,5.75,116.63,mango
102.71,31.89,29.79,17.45,50.51,6.77,70.88,wheat
111.37,38.23,38.61,16.36,62.59,5.39,123.8,maize
103.44,31.88,39.46,34.24,65.06,6.54,66.07,cotton
66.33,48.57,41.19,22.58,49.29,6.75,82.78,wheat
123.51,31.82,44.65,20.2,73.56,7.35,64.31,cotton
80.6,32.14,60.16,17.72,65.8,6.57,262.39,coffee
150.72,41.58,103.52,29.7,77.96,7.56,134.5,sugarcane
43.23,28.17,56.09,24.74,53.42,6.0,100.99,mango
104.45,50.55,52.24,18.48,39.03,7.43,82.4,wheat
108.37,48.22,56.44,24.23,57.78,6.57,75.78,maize
100.55,21.97,44.13,21.24,79.88,6.84,239.3,coffee
49.57,30.84,61.75,36.58,58.77,7.29,99.44,mango
145.85,58.97,92.97,21.22,71.82,6.28,85.45,sugarcane
120.37,55.34,75.05,20.72,68.4,6.24,66.6,potato
63.75,17.59,53.34,24.81,55.7,5.38,71.66,mango
90.49,37.94,47.88,27.0,72.87,6.39,237.83,rice
70.04,52.77,28.22,30.67,79.0,5.92,162.83,jute
82.43,72.42,91.05,17.55,74.87,4.87,86.18,potato
95.3,41.73,56.02,24.06,47.42,7.71,114.63,maize
75.9,43.8,58.52,26.6,57.8,6.41,58.41,tomato
131.35,37.63,54.27,18.88,60.41,6.28,202.9,sugarcane
71.85,27.73,46.33,25.82,83.76,6.87,191.01,jute
125.87,55.22,52.48,25.4,90.8,6.24,153.7,rice
63.09,32.71,39.06,26.13,56.09,6.19,98.37,wheat
101.6,33.04,51.71,23.78,84.29,7.66,220.04,jute
67.81,35.67,44.16,35.03,69.99,6.18,258.24,jute
54.15,33.7,50.0,36.47,61.94,7.41,139.34,mango
97.36,54.29,116.16,13.87,61.53,6.39,68.29,potato
42.31,59.66,22.58,17.13,38.95,6.72,49.91,chickpea
156.92,45.68,88.57,34.31,61.47,7.43,86.59,sugarcane
105.86,68.14,95.02,23.71,77.76,4.78,64.21,potato
59.72,17.7,39.68,20.64,76.52,5.95,223.23,coffee
18.4,37.03,30.74,14.29,63.59,5.71,57.43,chickpea
86.68,69.54,86.85,18.51,66.57,6.53,62.09,potato
99.84,49.46,37.69,33.05,55.3,5.87,128.95,maize
101.74,54.51,48.86,18.72,53.35,7.42,53.69,maize
72.0,39.16,31.41,23.28,43.78,6.07,58.51,wheat
59.15,24.4,62.0,35.67,48.29,5.79,145.15,mango
84.16,61.94,56.78,27.57,64.58,6.06,101.42,maize
22.62,56.2,39.24,28.23,40.71,6.53,70.24,chickpea
99.19,52.73,80.41,18.1,65.28,6.02,35.38,tomato
104.56,50.48,50.97,14.23,41.4,6.19,48.35,wheat
59.78,32.97,30.04,27.75,79.64,6.66,242.8,jute
50.69,19.19,58.06,30.71,53.99,5.67,106.41,mango
76.14,39.98,40.55,21.24,59.46,6.46,259.45,coffee
80.31,52.2,64.92,19.11,67.33,6.58,67.65,tomato
127.19,35.97,37.3,19.63,71.3,6.45,73.83,cotton
105.79,54.98,81.12,20.91,79.73,5.95,175.1,sugarcane
77.35,43.6,42.98,33.83,65.36,6.81,51.39,maize
56.82,43.59,45.75,32.42,70.9,7.54,176.9,jute
101.3,50.84,121.8,15.0,73.36,4.98,42.0,potato
29.29,49.72,23.24,18.36,41.82,7.27,68.24,chickpea
29.45,28.01,48.88,26.36,44.24,7.06,123.99,mango
136.87,37.94,37.78,24.85,73.3,5.69,62.34,cotton
17.96,41.1,41.78,22.77,44.57,6.7,56.98,chickpea
143.62,41.29,63.33,32.42,61.11,6.69,180.11,sugarcane
96.01,53.02,76.28,26.93,58.83,6.12,58.57,tomato
77.98,53.36,119.89,14.09,76.15,5.34,61.92,potato
51.51,32.75,58.06,28.78,44.24,7.37,131.12,mango
114.54,60.0,59.2,19.15,57.09,7.56,125.48,sugarcane
64.3,28.18,62.74,24.16,47.2,7.55,149.23,mango
108.47,37.51,45.49,21.61,87.23,6.95,175.6,rice
65.75,38.38,51.59,15.13,57.04,6.83,54.38,wheat
102.95,25.5,56.21,20.79,81.79,5.92,180.93,coffee
75.47,51.53,44.35,26.76,58.3,7.6,73.45,maize
73.37,43.93,39.75,34.42,90.53,6.71,262.62,jute
112.75,44.22,94.83,36.47,72.26,5.86,118.87,sugarcane
100.38,48.03,37.26,32.56,58.83,7.68,73.37,maize
81.53,64.74,80.24,14.51,75.54,4.9,47.09,potato
71.98,52.04,30.13,29.41,81.42,6.82,233.53,jute
145.72,53.26,60.18,28.85,61.33,5.89,149.83,sugarcane
33.95,47.38,17.18,29.2,59.37,6.46,70.15,chickpea
59.67,28.34,52.9,17.56,59.9,6.91,178.19,coffee
155.36,40.15,86.86,31.73,71.76,6.34,156.5,sugarcane
64.56,32.43,34.93,35.09,77.58,6.36,231.35,jute
70.38,25.15,56.37,18.21,77.06,6.56,249.98,coffee
83.59,62.31,58.12,31.57,59.56,7.38,74.93,maize
87.43,52.27,33.43,12.62,40.63,7.45,57.22,wheat
122.66,57.75,51.76,18.4,61.67,5.36,84.61,maize
98.93,45.81,40.51,14.93,38.31,6.05,55.05,wheat
104.96,65.84,82.73,22.22,81.69,6.22,83.51,potato
84.57,40.01,49.32,18.81,62.58,6.76,136.13,coffee
63.99,53.35,76.39,18.77,68.62,6.22,82.59,tomato
83.5,47.19,90.34,25.05,65.89,5.76,80.99,potato
100.93,48.56,43.41,19.84,53.62,7.12,43.57,wheat
117.66,43.07,38.97,21.28,51.0,6.46,64.7,cotton
104.87,57.35,57.67,36.2,73.59,6.43,146.03,rice
100.43,47.5,49.33,20.07,70.49,5.82,186.92,rice
100.96,34.72,29.25,26.69,42.03,6.25,104.08,cotton
78.94,55.87,39.2,36.0,70.57,7.14,283.67,rice
40.28,41.18,21.47,28.28,44.4,6.67,49.94,chickpea
97.83,34.75,37.1,23.85,63.03,5.9,215.52,coffee
57.44,40.23,52.41,32.05,71.13,6.78,252.22,jute
123.57,34.66,39.73,30.07,52.14,7.7,90.5,cotton
79.19,42.31,56.33,18.2,92.46,6.01,267.77,rice
90.54,46.0,52.21,26.76,55.18,6.06,105.14,maize
133.2,40.2,57.05,20.8,83.01,7.23,208.34,sugarcane
73.42,51.55,40.13,12.33,39.75,6.43,95.52,wheat
64.4,41.11,27.39,29.63,77.23,7.49,228.84,jute
148.95,64.16,104.65,35.08,64.52,7.06,87.67,sugarcane
27.71,27.63,57.08,25.17,51.09,5.3,151.27,mango
124.79,36.86,31.86,21.41,44.74,5.22,72.53,cotton
96.57,39.87,39.96,20.3,82.38,6.45,157.94,coffee
115.37,52.33,57.12,23.05,47.85,5.5,54.02,maize
122.41,48.98,90.32,36.88,70.05,6.54,140.65,sugarcane
140.77,47.62,198.68,23.87,78.72,5.71,108.16,banana
118.37,62.49,77.51,19.18,59.35,5.57,58.73,potato
124.72,48.99,53.71,32.62,53.47,7.51,58.61,maize
84.02,35.49,54.61,19.65,58.02,6.75,248.4,coffee
104.51,34.07,52.3,16.72,62.18,5.91,178.33,coffee
92.73,48.33,46.48,13.36,40.06,6.24,75.19,wheat
110.5,53.85,53.96,23.92,87.47,6.35,211.63,rice
105.77,27.41,41.5,22.39,58.5,6.84,82.79,wheat
90.34,40.67,43.94,31.55,62.66,6.18,112.61,maize
117.78,38.44,44.3,24.27,71.5,5.89,272.33,rice
30.06,54.21,17.63,21.53,54.06,6.19,44.94,chickpea
99.11,24.13,44.17,28.18,78.6,5.99,210.42,coffee
116.63,57.78,62.01,20.43,65.45,7.17,124.03,maize
75.04,47.88,55.65,32.55,65.54,6.41,127.01,maize
29.91,42.33,55.59,29.56,39.51,5.25,116.84,mango
119.12,56.72,62.8,29.63,69.16,7.36,107.96,maize
114.76,74.48,69.74,18.26,72.92,5.94,120.63,sugarcane
82.72,37.2,45.74,33.3,88.82,5.54,278.5,rice
145.91,39.44,47.98,34.6,43.75,5.26,78.81,cotton
133.13,39.64,189.87,25.13,70.4,6.96,212.65,banana
146.39,40.37,173.39,23.97,80.41,5.79,214.66,banana
84.95,52.77,33.7,11.45,40.22,6.86,81.27,wheat
30.27,59.06,19.27,13.77,50.34,6.09,48.64,chickpea
100.43,62.9,95.28,25.28,57.02,7.37,111.79,sugarcane
52.75,36.03,56.54,25.08,46.08,6.22,136.68,mango
99.79,30.44,29.02,34.82,72.32,5.28,101.9,cotton
115.56,49.8,52.59,35.91,70.11,5.5,144.6,rice
101.52,33.86,57.88,20.05,68.6,6.83,141.62,coffee
156.06,28.9,152.22,31.3,70.77,6.02,141.59,banana
97.8,66.65,100.03,25.82,64.16,5.86,161.84,sugarcane
148.78,51.42,170.19,23.0,77.93,6.16,172.54,banana
86.6,37.09,35.98,18.16,57.07,6.51,80.69,wheat
56.69,29.16,38.9,22.92,87.27,7.46,136.74,jute
34.12,33.35,54.04,33.28,63.0,5.3,83.47,mango
55.16,42.64,46.86,13.3,57.48,7.01,102.9,wheat
59.41,41.21,70.25,21.74,59.4,6.14,37.44,tomato
64.37,38.59,39.48,28.23,57.7,6.42,142.58,coffee
115.24,53.11,44.83,21.55,72.14,6.34,85.88,maize
55.64,21.9,55.62,31.29,53.96,5.66,128.99,mango
91.11,49.88,46.26,26.1,59.5,6.96,103.02,maize
100.96,42.96,94.89,23.95,55.03,5.92,76.59,tomato
76.54,56.77,56.19,20.57,64.8,6.22,38.08,tomato
62.85,36.32,30.8,35.88,85.65,7.33,232.25,jute
99.56,35.89,91.19,22.75,72.81,5.99,213.09,sugarcane
89.21,60.52,87.44,19.34,60.8,5.88,48.44,potato
65.12,50.4,35.91,8.51,49.86,6.02,58.0,wheat
96.73,32.65,38.51,25.3,64.36,5.95,213.86,coffee
67.66,52.64,32.43,11.61,51.91,6.75,80.23,wheat
119.09,51.03,41.17,26.46,74.09,5.34,113.09,cotton
119.73,49.29,62.26,25.96,54.04,6.47,53.91,maize
109.6,50.44,149.57,33.21,71.29,5.79,117.56,banana
35.21,20.79,40.8,26.01,50.96,7.17,146.9,mango
96.67,33.26,36.38,11.19,49.15,6.54,58.16,wheat
117.85,31.95,194.67,25.43,90.07,5.97,214.16,banana
96.29,60.02,84.41,19.0,79.09,6.34,43.1,potato
93.88,38.01,40.19,25.09,82.48,6.5,180.17,jute
105.58,30.3,44.83,28.43,70.86,7.72,256.32,jute
83.96,37.65,61.11,26.49,75.0,6.44,128.93,rice
150.54,32.76,182.79,32.82,80.77,7.18,145.31,banana
135.3,50.64,195.46,25.89,78.48,7.0,109.47,banana
120.27,48.84,190.47,30.76,87.99,6.0,170.78,banana
81.19,60.89,37.24,21.42,67.81,5.49,248.43,rice
155.12,70.91,83.74,25.09,75.12,7.37,196.96,sugarcane
129.51,30.34,32.45,27.11,57.85,8.37,54.19,cotton
55.14,40.39,35.97,15.96,39.61,7.3,103.76,wheat
92.02,36.58,47.17,25.48,63.21,6.38,210.8,coffee
115.22,59.73,81.79,17.84,61.3,5.0,50.46,potato
119.94,30.73,167.64,31.82,75.61,5.4,229.69,banana
105.62,49.18,75.32,31.32,83.73,7.18,107.62,sugarcane
106.32,48.9,37.53,20.44,50.08,5.76,72.42,maize
42.52,40.11,36.68,18.7,30.06,6.8,49.72,chickpea
142.72,41.04,177.34,29.85,85.14,6.58,154.68,banana
80.87,50.92,48.23,27.88,90.04,6.51,170.26,jute
138.55,34.52,45.2,19.03,49.36,7.13,60.93,cotton
87.16,28.32,52.52,16.9,60.32,6.7,46.42,wheat
97.79,28.9,38.73,23.36,73.05,8.09,78.81,cotton
76.19,31.59,32.08,33.58,91.33,6.51,145.25,jute
97.67,44.77,27.04,31.2,45.26,7.55,102.53,cotton
138.86,44.37,46.82,29.52,74.16,5.91,69.55,cotton
104.23,49.0,48.25,32.73,83.8,7.5,214.74,jute
20.03,51.93,21.87,19.28,35.92,7.86,31.32,chickpea
151.26,52.15,179.41,33.5,86.95,6.3,190.14,banana
50.61,23.17,38.22,28.83,57.47,6.05,140.23,mango
91.15,40.76,39.69,29.21,71.44,7.08,240.81,rice
103.15,32.01,30.79,29.28,52.8,5.94,80.41,cotton
121.7,56.23,118.59,16.41,75.39,4.95,96.59,potato
66.68,29.29,60.66,17.84,81.13,6.39,251.1,coffee
126.21,66.58,97.59,32.08,68.97,7.46,181.47,sugarcane
139.78,52.33,38.52,25.17,64.88,6.89,69.22,cotton
127.47,43.35,154.49,27.53,77.02,7.09,226.41,banana
94.17,53.66,37.28,21.83,80.65,5.59,159.85,rice
74.04,52.56,46.2,18.15,51.84,6.06,56.48,maize
99.76,67.11,75.88,18.65,59.6,5.56,96.45,potato
104.35,33.79,53.47,23.68,72.8,6.52,140.51,coffee
80.2,37.28,100.68,23.57,68.45,6.56,75.43,tomato
100.09,71.53,63.04,24.94,71.07,6.02,87.68,sugarcane
98.16,46.57,42.7,21.81,86.54,5.51,144.27,rice
96.28,47.58,195.02,20.8,91.64,6.14,222.69,banana
102.94,36.99,49.57,28.67,61.06,7.67,106.33,cotton
101.28,47.59,87.52,20.92,61.08,5.91,56.0,potato
101.97,31.73,47.54,28.75,62.59,6.34,149.12,coffee
90.66,28.82,39.51,23.0,56.45,7.36,71.64,wheat
97.39,28.95,42.34,33.63,51.22,6.57,90.8,cotton
93.91,59.09,96.09,15.44,62.73,4.9,39.99,potato
80.86,49.92,97.45,22.02,51.15,6.21,47.79,tomato
55.71,34.26,32.02,15.13,47.01,6.44,63.82,wheat
92.59,40.12,95.98,24.92,55.81,6.8,63.41,tomato
111.67,61.75,94.88,21.77,79.27,6.29,67.95,potato
115.21,60.99,68.58,29.34,80.66,7.32,139.62,sugarcane
89.23,37.62,96.09,28.58,65.47,6.5,68.16,tomato
103.37,29.79,56.37,19.33,60.57,6.65,222.6,coffee
118.93,52.16,197.44,22.45,82.96,6.82,204.84,banana
133.19,47.94,60.93,29.47,80.92,7.32,105.22,sugarcane
127.06,38.12,100.66,35.5,74.06,6.86,92.48,sugarcane
18.36,39.41,19.29,29.15,52.18,6.81,33.87,chickpea
93.98,32.35,196.3,22.49,74.42,6.5,128.95,banana
90.23,49.33,30.18,25.81,37.68,7.41,47.49,wheat
83.7,52.85,28.0,11.81,50.49,7.35,48.29,wheat
153.23,40.1,196.99,24.19,83.48,6.36,225.14,banana
86.75,55.47,59.13,34.8,75.82,6.31,175.94,rice
76.34,48.31,62.8,35.14,86.46,7.01,301.72,rice
34.38,59.1,19.96,28.68,60.75,7.05,53.18,chickpea
124.43,59.34,93.35,21.53,73.91,4.78,72.7,potato
101.99,55.38,59.9,27.22,66.38,6.66,141.39,sugarcane
61.54,40.99,44.43,27.38,80.23,6.56,212.78,coffee
111.08,48.69,59.5,27.54,62.5,7.01,109.71,sugarcane
125.07,52.79,48.05,24.96,77.86,5.51,282.48,rice
66.91,38.87,37.25,23.55,46.82,6.81,81.08,wheat
99.86,43.28,49.75,25.5,42.07,6.43,103.59,cotton
61.16,50.48,101.88,16.61,48.46,6.31,69.15,tomato
76.98,63.26,107.97,20.16,63.39,6.36,37.42,potato
48.92,32.83,53.78,32.33,39.69,5.99,65.44,mango
40.09,44.78,35.3,19.89,48.9,8.3,69.55,chickpea
118.64,32.65,28.63,18.97,48.17,7.04,82.09,cotton
117.37,45.69,103.51,25.78,81.04,6.53,102.14,sugarcane
88.46,42.25,41.83,27.93,79.18,5.78,136.31,rice
73.85,28.36,52.56,28.98,76.67,6.55,231.7,coffee
143.73,50.42,196.67,33.16,83.36,5.72,155.64,banana
127.19,32.45,32.87,33.08,46.65,5.36,54.87,cotton
74.59,53.27,104.61,25.1,47.42,6.61,47.04,tomato
98.81,43.7,44.95,26.92,47.71,6.56,102.52,wheat
132.49,69.39,72.81,28.46,73.02,7.54,106.44,sugarcane
58.85,44.06,27.89,22.77,57.78,6.95,98.2,wheat
99.91,61.07,53.19,25.26,65.49,6.51,121.55,maize
32.23,32.97,47.82,32.01,46.68,6.53,82.08,mango
98.39,30.99,42.15,13.31,56.22,6.24,86.14,wheat
91.14,20.27,44.29,28.17,76.2,6.85,249.64,coffee
157.47,49.11,66.71,22.96,59.28,6.54,87.27,sugarcane
89.4,41.96,49.54,25.91,68.45,7.65,142.9,jute
118.3,59.46,51.38,22.16,60.5,5.96,113.33,maize
81.0,59.37,45.33,24.78,68.44,5.97,179.14,rice
79.17,52.76,38.73,20.29,48.58,6.63,63.51,maize
75.56,52.0,65.97,20.15,52.77,6.24,80.72,tomato
95.21,34.25,40.14,35.03,46.09,7.64,95.54,cotton
58.42,19.77,57.32,25.46,71.61,6.73,245.68,coffee
97.45,51.77,49.01,30.6,81.41,5.9,194.92,rice
59.84,22.6,37.0,26.03,49.68,7.34,126.47,mango
88.73,27.42,54.45,21.46,79.0,5.94,251.13,coffee
105.5,45.99,204.14,23.38,91.78,5.91,177.52,banana
101.53,45.67,41.7,28.48,92.69,7.21,239.95,jute
72.47,36.07,45.64,16.85,46.39,7.44,79.68,wheat
